gid_1,country,perc_used_internet_past12months_wght_age_15_to_49_wom,perc_used_internet_past12months_wght_age_15_to_49_fm_ratio,hdi_national,gdi_national,subnational_gdi,subnational_hdi_females,subnational_hdi_males,nl_mean_zscore,pop_density_zscore,fb_pntr_18p_female,fb_pntr_18p_male
ETH.6_1,Ethiopia,0.0527375229651519,0.21946888082872,0.465,0.893,0.913,0.52,0.57,-0.269080555704329,-0.28810649309888753,0.0936637350179956,0.249071744543817
ETH.7_1,Ethiopia,0.118559592762988,0.310272396102211,0.465,0.893,0.876,0.531,0.606,-0.21082887810336487,0.2372883561228752,0.206774330034168,0.52421911153676
ETH.8_1,Ethiopia,0.0253420763853044,0.249040337208068,0.465,0.893,0.877,0.424,0.483,-0.26607970539618303,-0.2075896092498294,0.0440588151963692,0.114547964290963
ETH.9_1,Ethiopia,0.0267119479887156,0.186038720693966,0.465,0.893,0.831,0.38,0.458,-0.26888257389123,-0.2860051208610209,0.0178345176623945,0.035132542078059
ETH.10_1,Ethiopia,0.0221611361944117,0.38508977830488,0.465,0.893,0.89,0.445,0.5,-0.2656021098568518,-0.1494348914456899,0.0268930861002418,0.080121428462363
ETH.11_1,Ethiopia,0.0499788623017145,0.396991168315893,0.465,0.893,0.926,0.476,0.514,-0.2634209625976017,-0.21326117725835,0.0561678853872741,0.140557454990001
GAB.1_1,Gabon,0.6783049909626471,0.845779997637912,0.702,0.98,0.906,0.654,0.721,-0.25022946942926577,-0.2540565582462722,0.73722689221192494,1
GAB.2_1,Gabon,0.5324044427461501,0.711418064801627,0.702,0.98,0.883,0.644,0.729,-0.2663275785128886,-0.2823578677209172,0.0748175132605502,0.15370706945035
GAB.3_1,Gabon,0.469019338060194,0.81898301507332,0.702,0.98,0.892,0.623,0.698,-0.25549203416034194,-0.29641066607624716,0.18332098933833,0.361127820372378
GAB.4_1,Gabon,0.42530866140034496,0.879379792296775,0.702,0.98,0.874,0.58,0.664,-0.26236746034774816,-0.2982291874301103,0.0902091025787222,0.205574792275919
GAB.5_1,Gabon,0.42690621427234904,0.737272736338073,0.702,0.98,0.853,0.59,0.692,-0.2662220543521239,-0.2988123022180556,0.0582867134556997,0.117950108752719
GAB.6_1,Gabon,0.29440994151586003,0.579569865200032,0.702,0.98,0.87,0.552,0.635,-0.26897437173712807,-0.2996807044237344,0.144960243589643,0.390903398219649
GAB.7_1,Gabon,0.395392485004026,0.603905268969694,0.702,0.98,0.898,0.6,0.668,-0.2687505381555296,-0.29804462403590315,0.044195630373378,0.0998316538301793
GAB.8_1,Gabon,0.6905711849641629,0.864834140608203,0.702,0.98,0.877,0.609,0.694,-0.1518684163594631,-0.29495511993566864,0.677339302097307,0.969673959125614
GAB.9_1,Gabon,0.572321438166232,0.915778391822997,0.702,0.98,0.874,0.601,0.688,-0.2682135897626714,-0.29437817825667273,0.10396447009747,0.202959401372755
GMB.1_1,Gambia,0.7478517695512611,0.89617355310216,0.492,0.93,0.979,0.548,0.56,0.5448453451953325,3.915397206328117,0.677289726625383,1
GMB.2_1,Gambia,0.473819536176496,0.844372087147476,0.492,0.93,0.89,0.422,0.474,-0.2665720497766114,-0.2510230852206764,0.0129721547049359,0.0197896289572607
GMB.3_1,Gambia,0.293080047704203,0.551460443242819,0.492,0.93,0.908199652762482,0.353602123587141,0.388578845466442,-0.2676075901724865,-0.22932025947780785,0.113039669986738,0.351048616796618
GMB.4_1,Gambia,0.455181696802703,0.715912256656735,0.492,0.93,0.909,0.431,0.473,-0.26413845471018416,-0.2005012051492233,0.0978744836795715,0.31018737044455
GMB.5_1,Gambia,0.642891769579406,0.854178122568516,0.492,0.93,0.9,0.407,0.452,-0.2658030743510685,-0.18491444351429945,0.0171463660934769,0.0689620292916185
GMB.6_1,Gambia,0.6605040424942019,0.897584801214205,0.492,0.93,0.927,0.508,0.547,-0.1856732665890335,0.2182977417269926,0.118731303158599,0.29866152664183
GHA1_2,Ghana,0.947209233551588,NA,0.585,0.906,0.865,0.562,0.649,-0.21892405059728212,-0.20858599102911976,0.238165709307827,0.481019630083286
GHA2_2,Ghana,0.937495263680462,NA,0.585,0.906,0.863,0.568,0.658,-0.1418643856946587,-0.08806666770121435,0.226495984281331,0.407747002788422
GHA3_2,Ghana,0.8070694916855631,NA,0.585,0.906,0.865,0.562,0.649,-0.22170947330537835,-0.22100110883836888,0.0680273201862291,0.137025690130583
GHA4_2,Ghana,0.733207165010444,NA,0.585,0.906,0.865,0.562,0.649,-0.2536772823470669,-0.2611650569859304,0.0680273201862291,0.137025690130583
GHA5_2,Ghana,0.924517016327579,NA,0.585,0.906,0.834,0.552,0.662,-0.11199752266281442,-0.06211929837186921,0.052027543128262,0.123441997842048
GHA6_2,Ghana,0.926474278422747,NA,0.585,0.906,0.856,0.572,0.669,-0.1883415491291395,-0.16059709698185592,0.0363695863825639,0.0828496047800121
GHA7_2,Ghana,0.9284140392042488,NA,0.585,0.906,0.884,0.637,0.72,1.2637703608601571,0.8692763086561819,0.493767855268288,0.910902181232341
