_submission__uuid,gender,age_class,hh_size,age_u5,age_5_18,age_18plus,age_u5_count,age_5_18_count,age_18plus_count,hh_size_categorical,hh_size_categorical_crude,cooking_fuel,material_house,modern_fuel_type,manufactured_material_house,radio,bed,_id,health_zone
cd4117d6-066b-4cac-87cd-cb95a72fe8f2,f,"[18,25)",10,2,2,6,2+,2+,2+,10+,7+,charcoal,coated_adobe,1,1,no,yes,461072826,Kalemie
cd4117d6-066b-4cac-87cd-cb95a72fe8f2,m,"[18,25)",10,2,2,6,2+,2+,2+,10+,7+,charcoal,coated_adobe,1,1,no,yes,461072826,Kalemie
2dc6e657-58b9-4a62-a53c-2418d62ae21d,f,"[35,45)",12,2,4,6,2+,2+,2+,10+,7+,charcoal,coated_adobe,1,1,no,yes,461072832,Kalemie
2dc6e657-58b9-4a62-a53c-2418d62ae21d,m,"[45,55)",12,2,4,6,2+,2+,2+,10+,7+,charcoal,coated_adobe,1,1,no,yes,461072832,Kalemie
2dc6e657-58b9-4a62-a53c-2418d62ae21d,m,"[18,25)",12,2,4,6,2+,2+,2+,10+,7+,charcoal,coated_adobe,1,1,no,yes,461072832,Kalemie
2dc6e657-58b9-4a62-a53c-2418d62ae21d,f,"[18,25)",12,2,4,6,2+,2+,2+,10+,7+,charcoal,coated_adobe,1,1,no,yes,461072832,Kalemie
2dc6e657-58b9-4a62-a53c-2418d62ae21d,f,"[18,25)",12,2,4,6,2+,2+,2+,10+,7+,charcoal,coated_adobe,1,1,no,yes,461072832,Kalemie
2dc6e657-58b9-4a62-a53c-2418d62ae21d,m,"[18,25)",12,2,4,6,2+,2+,2+,10+,7+,charcoal,coated_adobe,1,1,no,yes,461072832,Kalemie
f02b070e-1b20-4d0d-9322-cf8a9a4e2fa0,f,"[25,35)",6,2,2,2,2+,2+,2+,"[4,7)","[0,6)",charcoal,cement_blocks,1,1,no,yes,461072839,Kalemie
f02b070e-1b20-4d0d-9322-cf8a9a4e2fa0,m,"[25,35)",6,2,2,2,2+,2+,2+,"[4,7)","[0,6)",charcoal,cement_blocks,1,1,no,yes,461072839,Kalemie
de6bf379-b03f-4fa3-a91e-d9952828d4e8,m,"[65,100]",5,1,1,3,1,1,2+,"[4,7)","[0,6)",charcoal,coated_adobe,1,1,yes,yes,461072842,Kalemie
de6bf379-b03f-4fa3-a91e-d9952828d4e8,f,"[25,35)",5,1,1,3,1,1,2+,"[4,7)","[0,6)",charcoal,coated_adobe,1,1,yes,yes,461072842,Kalemie
de6bf379-b03f-4fa3-a91e-d9952828d4e8,m,"[18,25)",5,1,1,3,1,1,2+,"[4,7)","[0,6)",charcoal,coated_adobe,1,1,yes,yes,461072842,Kalemie
75d9b978-73dc-4d0a-9779-1c095b554e94,f,"[25,35)",11,2,7,2,2+,2+,2+,10+,7+,charcoal,cement_blocks,1,1,yes,yes,461455398,Kalemie
75d9b978-73dc-4d0a-9779-1c095b554e94,m,"[35,45)",11,2,7,2,2+,2+,2+,10+,7+,charcoal,cement_blocks,1,1,yes,yes,461455398,Kalemie
d950328e-b260-4d44-960f-8d43396dfefb,f,"[35,45)",7,2,2,3,2+,2+,2+,"[7,10)",7+,charcoal,earth,1,0,yes,yes,461455451,Kalemie
d950328e-b260-4d44-960f-8d43396dfefb,m,"[45,55)",7,2,2,3,2+,2+,2+,"[7,10)",7+,charcoal,earth,1,0,yes,yes,461455451,Kalemie
d950328e-b260-4d44-960f-8d43396dfefb,f,"[25,35)",7,2,2,3,2+,2+,2+,"[7,10)",7+,charcoal,earth,1,0,yes,yes,461455451,Kalemie
2849a525-43b8-47a9-9db0-ca6355abc26e,m,"[25,35)",3,1,0,2,1,0,2+,"[0,4)","[0,6)",charcoal,earth,1,0,yes,yes,461455487,Kalemie
2849a525-43b8-47a9-9db0-ca6355abc26e,f,"[18,25)",3,1,0,2,1,0,2+,"[0,4)","[0,6)",charcoal,earth,1,0,yes,yes,461455487,Kalemie
ce4aa155-6353-401d-a8bc-ee1e6033288a,m,"[25,35)",4,1,1,2,1,1,2+,"[4,7)","[0,6)",charcoal,earth,1,0,no,yes,461455558,Kalemie
ce4aa155-6353-401d-a8bc-ee1e6033288a,f,"[18,25)",4,1,1,2,1,1,2+,"[4,7)","[0,6)",charcoal,earth,1,0,no,yes,461455558,Kalemie
e52d46d5-8e71-4449-b01c-41ff2adb355c,f,"[65,100]",5,0,3,2,0,2+,2+,"[4,7)","[0,6)",charcoal,earth,1,0,no,yes,461455604,Kalemie
e52d46d5-8e71-4449-b01c-41ff2adb355c,m,"[18,25)",5,0,3,2,0,2+,2+,"[4,7)","[0,6)",charcoal,earth,1,0,no,yes,461455604,Kalemie
121cb373-3954-4025-bac6-529ec10dfc03,m,"[45,55)",6,0,4,2,0,2+,2+,"[4,7)","[0,6)",charcoal,coated_adobe,1,1,yes,yes,461455670,Kalemie
121cb373-3954-4025-bac6-529ec10dfc03,f,"[35,45)",6,0,4,2,0,2+,2+,"[4,7)","[0,6)",charcoal,coated_adobe,1,1,yes,yes,461455670,Kalemie
6065ceb3-5a15-41c8-b330-c3376899dabb,f,"[18,25)",8,2,3,3,2+,2+,2+,"[7,10)",7+,charcoal,earth,1,0,yes,yes,461455684,Kalemie
6065ceb3-5a15-41c8-b330-c3376899dabb,f,"[55,65)",8,2,3,3,2+,2+,2+,"[7,10)",7+,charcoal,earth,1,0,yes,yes,461455684,Kalemie
6065ceb3-5a15-41c8-b330-c3376899dabb,m,"[18,25)",8,2,3,3,2+,2+,2+,"[7,10)",7+,charcoal,earth,1,0,yes,yes,461455684,Kalemie
1667d70b-0770-41fa-ad0b-24aa6b3f3ceb,f,"[25,35)",6,0,4,2,0,2+,2+,"[4,7)","[0,6)",charcoal,earth,1,0,yes,yes,461455698,Kalemie
